" Five Year Age Groups and Sex for Custom Region - China"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
China,1990,Total,1153163985,593385848,559778137,100.0,100.0,100.0,106.0
China,1990,0-4,131419742,67417778,64001964,11.4,11.4,11.4,105.3
China,1990,5-9,103809667,53732061,50077606,9.0,9.1,8.9,107.3
China,1990,10-14,97226692,50183593,47043099,8.4,8.5,8.4,106.7
China,1990,15-19,120872608,62354152,58518456,10.5,10.5,10.5,106.6
China,1990,20-24,127297812,65745940,61551872,11.0,11.1,11.0,106.8
China,1990,25-29,104646488,53870163,50776325,9.1,9.1,9.1,106.1
China,1990,30-34,84077954,43889574,40188380,7.3,7.4,7.2,109.2
China,1990,35-39,86475663,44681679,41793984,7.5,7.5,7.5,106.9
China,1990,40-44,63762972,33386447,30376525,5.5,5.6,5.4,109.9
China,1990,45-49,49128112,25892513,23235599,4.3,4.4,4.2,111.4
China,1990,50-54,45662128,24149339,21512789,4.0,4.1,3.8,112.3
China,1990,55-59,41751182,21877803,19873379,3.6,3.7,3.6,110.1
China,1990,60-64,34001582,17505698,16495884,2.9,3.0,2.9,106.1
China,1990,65-69,26350020,12934985,13415035,2.3,2.2,2.4,96.4
China,1990,70-74,18061880,8355504,9706376,1.6,1.4,1.7,86.1
China,1990,75-79,10939924,4695104,6244820,0.9,0.8,1.1,75.2
China,1990,80-84,5355570,1996834,3358736,0.5,0.3,0.6,59.5
China,1990,85-89,1907855,606057,1301798,0.2,0.1,0.2,46.6
China,1990,90-94,351602,94520,257082,0.0,0.0,0.0,36.8
China,1990,95-99,57851,14549,43302,0.0,0.0,0.0,33.6
China,1990,100+,6681,1555,5126,0.0,0.0,0.0,30.3
China,1995,Total,1221055333,628616268,592439065,100.0,100.0,100.0,106.1
China,1995,0-4,105001631,55477077,49524554,8.6,8.8,8.4,112.0
China,1995,5-9,130332424,66870542,63461882,10.7,10.6,10.7,105.4
China,1995,10-14,103521558,53559979,49961579,8.5,8.5,8.4,107.2
China,1995,15-19,96797060,49923429,46873631,7.9,7.9,7.9,106.5
China,1995,20-24,119975581,61814552,58161029,9.8,9.8,9.8,106.3
China,1995,25-29,126250638,65121738,61128900,10.3,10.4,10.3,106.5
China,1995,30-34,103782821,53352032,50430789,8.5,8.5,8.5,105.8
China,1995,35-39,83262845,43386139,39876706,6.8,6.9,6.7,108.8
China,1995,40-44,85431718,44038958,41392760,7.0,7.0,7.0,106.4
China,1995,45-49,62658611,32703527,29955084,5.1,5.2,5.1,109.2
China,1995,50-54,47793929,25070105,22723824,3.9,4.0,3.8,110.3
China,1995,55-59,43693873,22925640,20768233,3.6,3.6,3.5,110.4
China,1995,60-64,38827612,20064928,18762684,3.2,3.2,3.2,106.9
China,1995,65-69,30153098,15171708,14981390,2.5,2.4,2.5,101.3
China,1995,70-74,21653638,10200467,11453171,1.8,1.6,1.9,89.1
China,1995,75-79,12898389,5609592,7288797,1.1,0.9,1.2,77.0
China,1995,80-84,6242483,2457051,3785432,0.5,0.4,0.6,64.9
China,1995,85-89,2223371,723793,1499578,0.2,0.1,0.3,48.3
China,1995,90-94,499163,132930,366233,0.0,0.0,0.1,36.3
China,1995,95-99,50678,11204,39474,0.0,0.0,0.0,28.4
China,1995,100+,4212,877,3335,0.0,0.0,0.0,26.3
China,2000,Total,1268301605,653473775,614827830,100.0,100.0,100.0,106.3
China,2000,0-4,87679332,47133561,40545771,6.9,7.2,6.6,116.2
China,2000,5-9,104281534,55108495,49173039,8.2,8.4,8.0,112.1
China,2000,10-14,129976398,66657821,63318577,10.2,10.2,10.3,105.3
China,2000,15-19,103062857,53271863,49790994,8.1,8.2,8.1,107.0
China,2000,20-24,96005968,49418231,46587737,7.6,7.6,7.6,106.1
China,2000,25-29,118921322,61152673,57768649,9.4,9.4,9.4,105.9
China,2000,30-34,125187312,64458586,60728726,9.9,9.9,9.9,106.1
China,2000,35-39,102805521,52734865,50070656,8.1,8.1,8.1,105.3
China,2000,40-44,82232411,42724638,39507773,6.5,6.5,6.4,108.1
China,2000,45-49,84006028,43144361,40861667,6.6,6.6,6.6,105.6
China,2000,50-54,61075622,31720361,29355261,4.8,4.9,4.8,108.1
China,2000,55-59,45883598,23885053,21998545,3.6,3.7,3.6,108.6
China,2000,60-64,40833499,21156145,19677354,3.2,3.2,3.2,107.5
China,2000,65-69,34709872,17564913,17144959,2.7,2.7,2.8,102.4
China,2000,70-74,24991237,12139872,12851365,2.0,1.9,2.1,94.5
China,2000,75-79,15723016,7023507,8699509,1.2,1.1,1.4,80.7
China,2000,80-84,7571828,3055079,4516749,0.6,0.5,0.7,67.6
China,2000,85-89,2670508,937029,1733479,0.2,0.1,0.3,54.1
China,2000,90-94,604743,169215,435528,0.0,0.0,0.1,38.9
China,2000,95-99,75047,16768,58279,0.0,0.0,0.0,28.8
China,2000,100+,3952,739,3213,0.0,0.0,0.0,23.0
China,2005,Total,1302284553,671024432,631260121,100.0,100.0,100.0,106.3
China,2005,0-4,75408369,40844025,34564344,5.8,6.1,5.5,118.2
China,2005,5-9,87195211,46886611,40308600,6.7,7.0,6.4,116.3
China,2005,10-14,104012947,54938047,49074900,8.0,8.2,7.8,111.9
China,2005,15-19,129405725,66289749,63115976,9.9,9.9,10.0,105.0
China,2005,20-24,102167158,52669770,49497388,7.8,7.8,7.8,106.4
China,2005,25-29,95022470,48758114,46264356,7.3,7.3,7.3,105.4
China,2005,30-34,117856355,60447218,57409137,9.0,9.0,9.1,105.3
China,2005,35-39,123999627,63676456,60323171,9.5,9.5,9.6,105.6
China,2005,40-44,101623171,51944530,49678641,7.8,7.7,7.9,104.6
China,2005,45-49,80881866,41832185,39049681,6.2,6.2,6.2,107.1
China,2005,50-54,82086510,41927449,40159061,6.3,6.2,6.4,104.4
China,2005,55-59,58966863,30397355,28569508,4.5,4.5,4.5,106.4
