"Country or Area","Year","Area","Sex","Age","Marital status","Record Type","Reliability","Source Year","Value","Value Footnotes"
"China","2010","Total","Male","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4782846","1,2"
"China","2010","Total","Male","15 - 19","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","4754173","1,2"
"China","2010","Total","Male","15 - 19","Married","Census - de jure - complete tabulation","Final figure, complete","2012","28400","1,2"
"China","2010","Total","Male","15 - 19","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","34","1,2"
"China","2010","Total","Male","15 - 19","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","239","1,2"
"China","2010","Total","Male","15 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","52943450","1,2"
"China","2010","Total","Male","15 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","13072317","1,2"
"China","2010","Total","Male","15 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","37255009","1,2"
"China","2010","Total","Male","15 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","1801760","1,2"
"China","2010","Total","Male","15 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","814364","1,2"
"China","2010","Total","Male","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5771671","1,2"
"China","2010","Total","Male","20 - 24","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","4758294","1,2"
"China","2010","Total","Male","20 - 24","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1001960","1,2"
"China","2010","Total","Male","20 - 24","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","822","1,2"
"China","2010","Total","Male","20 - 24","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","10595","1,2"
"China","2010","Total","Male","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4611961","1,2"
"China","2010","Total","Male","25 - 29","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","1673874","1,2"
"China","2010","Total","Male","25 - 29","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2888735","1,2"
"China","2010","Total","Male","25 - 29","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","3157","1,2"
"China","2010","Total","Male","25 - 29","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","46195","1,2"
"China","2010","Total","Male","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4531862","1,2"
"China","2010","Total","Male","30 - 34","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","572135","1,2"
"China","2010","Total","Male","30 - 34","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3858833","1,2"
"China","2010","Total","Male","30 - 34","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","7958","1,2"
"China","2010","Total","Male","30 - 34","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","92936","1,2"
"China","2010","Total","Male","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5613221","1,2"
"China","2010","Total","Male","35 - 39","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","361728","1,2"
"China","2010","Total","Male","35 - 39","Married","Census - de jure - complete tabulation","Final figure, complete","2012","5090384","1,2"
"China","2010","Total","Male","35 - 39","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","20296","1,2"
